name;description;price;categories;quantity;image1;image2;source_url;color;material;;;;;
Granville 16 Backpack;Granville 16 Backpack;810;Clothing>Men;5;images\granville-16-backpack-1.jpg;images\granville-16-backpack-2.jpg;https://arcteryx.com/us/en/shop/granville-16-backpack-9624;;Nylon;;;;;
Granville 25 Backpack;Granville 25 Backpack;932;Clothing>Men;5;images\granville-25-backpack-1.jpg;images\granville-25-backpack-2.jpg;https://arcteryx.com/us/en/shop/granville-25-backpack-9625;Red;Nylon;;;;;
Granville 30 Carryall Bag;Granville 30 Carryall Bag;648;Clothing>Men;5;images\granville-30-carryall-bag-1.jpg;images\granville-30-carryall-bag-2.jpg;https://arcteryx.com/us/en/shop/granville-30-carryall-bag-9626;Red;;;;;;
Granville Crossbody Bag;Granville Crossbody Bag;405;Clothing>Men;5;images\granville-crossbody-bag-1.jpg;images\granville-crossbody-bag-2.jpg;https://arcteryx.com/us/en/shop/granville-crossbody-bag-9622;Red;Nylon;;;;;
Grotto Headband;Grotto Headband;162;Clothing>Men;5;images\grotto-headband-1.jpg;images\grotto-headband-2.jpg;https://arcteryx.com/us/en/shop/grotto-headband;Red;Polyester;;;;;
Grotto Rib Toque;Grotto Rib Toque;263;Clothing>Men;5;images\grotto-rib-toque-1.jpg;images\grotto-rib-toque-2.jpg;https://arcteryx.com/us/en/shop/grotto-rib-toque-9932;Red;Polyester;;;;;
Grotto Toque;Grotto Toque;243;Clothing>Men;5;images\grotto-toque-1.jpg;images\grotto-toque-2.jpg;https://arcteryx.com/us/en/shop/grotto-toque-0067;Red;Polyester;;;;;
Heliad 15 Backpack;Heliad 15 Backpack;324;Clothing>Men;5;images\heliad-15-backpack-1.jpg;images\heliad-15-backpack-2.jpg;https://arcteryx.com/us/en/shop/heliad-15-backpack-9829;Red;;;;;;
Heliad Belt 38;Heliad Belt 38;182;Accessories>Men;5;images\heliad-belt-38-1.jpg;images\heliad-belt-38-2.jpg;https://arcteryx.com/us/en/shop/heliad-belt-38-9654;Black;;;;;;
Heliad Crossbody Bag;Heliad Crossbody Bag;203;Clothing>Men;5;images\heliad-crossbody-bag-1.jpg;images\heliad-crossbody-bag-2.jpg;https://arcteryx.com/us/en/shop/heliad-crossbody-bag-9828;Red;;;;;;
Index Gear Organizer;Index Gear Organizer;203;Clothing>Men;5;images\index-gear-organizer-1.jpg;images\index-gear-organizer-2.jpg;https://arcteryx.com/us/en/shop/index-gear-organizer-0642;Black;;;;;;
Ion Gear Organizer;Ion Gear Organizer;527;Clothing>Men;5;images\ion-gear-organizer-1.jpg;images\ion-gear-organizer-2.jpg;https://arcteryx.com/us/en/shop/ion-gear-organizer-9826;Black;Nylon;;;;;
Ion Lightweight Chalk Bag;Ion Lightweight Chalk Bag;162;Clothing>Men;5;images\ion-lightweight-chalk-bag-1.jpg;images\ion-lightweight-chalk-bag-2.jpg;https://arcteryx.com/us/en/shop/ion-lightweight-chalk-bag;Red;Polyester;;;;;
Konseal 15 Backpack;Konseal 15 Backpack;405;Clothing>Men;5;images\konseal-15-backpack-1.jpg;images\konseal-15-backpack-2.jpg;https://arcteryx.com/us/en/shop/konseal-15-backpack-9832;Red;;;;;;
Mallow Toque;Mallow Toque;223;Clothing>Men;5;images\mallow-toque-1.jpg;images\mallow-toque-2.jpg;https://arcteryx.com/us/en/shop/mallow-toque;Red;Polyester;;;;;
Mantis 1 Waist Pack;Mantis 1 Waist Pack;162;Clothing>Men;5;images\mantis-1-waist-pack-1.jpg;images\mantis-1-waist-pack-2.jpg;https://arcteryx.com/us/en/shop/mantis-1-waist-pack-9234;Black;Polyester;;;;;
Mantis 16 Backpack;Mantis 16 Backpack;527;Clothing>Men;5;images\mantis-16-backpack-1.jpg;images\mantis-16-backpack-2.jpg;https://arcteryx.com/us/en/shop/mantis-16-backpack-0636;;Polyester;;;;;
Mantis 2 Waist Pack;Mantis 2 Waist Pack;203;Clothing>Men;5;images\mantis-2-waist-pack-1.jpg;images\mantis-2-waist-pack-2.jpg;https://arcteryx.com/us/en/shop/mantis-2-waist-pack-8973;Red;Polyester;;;;;
Mantis 26 Backpack;Mantis 26 Backpack;648;Clothing>Men;5;images\mantis-26-backpack-1.jpg;images\mantis-26-backpack-2.jpg;https://arcteryx.com/us/en/shop/mantis-26-backpack;;;;;;;
Mantis 26 Backpack;Mantis 26 Backpack;648;Clothing>Men;5;images\mantis-26-backpack-1.jpg;images\mantis-26-backpack-2.jpg;https://arcteryx.com/us/en/shop/mantis-26-backpack-9825;;;;;;;
Align MX Pant Men's;Align MX Pant Men's;1418;Clothing>Men;5;images\align-mx-pant-mens-1.jpg;images\align-mx-pant-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/align-mx-pant-0582;Red;;;;;;
Allium Insulated Jacket Men's;Allium Insulated Jacket Men's;1215;Clothing>Men;5;images\allium-insulated-jacket-mens-1.jpg;images\allium-insulated-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/allium-insulated-jacket-9161;Black;Nylon;;;;;
Alpha Jacket Men's;Alpha Jacket Men's;2835;Clothing>Men;5;images\alpha-jacket-mens-1.jpg;images\alpha-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/alpha-jacket-9898;Black;GORE-TEX;;;;;
Alpha SV Bib Pant Men's;Alpha SV Bib Pant Men's;3038;Clothing>Men;5;images\alpha-sv-bib-pant-mens-1.jpg;images\alpha-sv-bib-pant-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/alpha-sv-bib-pant-9900;;GORE-TEX;;;;;
Alpha SV Jacket Men's;Alpha SV Jacket Men's;3645;Clothing>Men;5;images\alpha-sv-jacket-mens-1.jpg;images\alpha-sv-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/alpha-sv-jacket-9899;;GORE-TEX;;;;;
Alpine Guide Jacket Men's;Alpine Guide Jacket Men's;3240;Clothing>Men;5;images\alpine-guide-jacket-mens-1.jpg;images\alpine-guide-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/alpine-guide-jacket-8963;Red;GORE-TEX;;;;;
Altus Down Jacket Men's;Altus Down Jacket Men's;5670;Clothing>Men;5;images\altus-down-jacket-mens-1.jpg;images\altus-down-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/altus-down-jacket-9879;Black;GORE-TEX;;;;;
AR-395a Harness Men's;AR-395a Harness Men's;648;Clothing>Men;5;images\ar-395a-harness-mens-1.jpg;images\ar-395a-harness-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/ar-395a-harness;;;;;;;
Arris Jacket Men's;Arris Jacket Men's;3240;Clothing>Men;5;images\arris-jacket-mens-1.jpg;images\arris-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/arris-jacket-9479;Red;GORE-TEX;;;;;
Atom Hoody Men's;Atom Hoody Men's;1215;Clothing>Men;5;images\atom-hoody-mens-1.jpg;images\atom-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/atom-hoody-9556;Black;Down;;;;;
Atom Jacket Men's;Atom Jacket Men's;1134;Clothing>Men;5;images\atom-jacket-mens-1.jpg;images\atom-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/atom-jacket-9561;Black;Down;;;;;
Atom SL Hoody Men's;Atom SL Hoody Men's;1134;Clothing>Men;5;images\atom-sl-hoody-mens-1.jpg;images\atom-sl-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/atom-sl-hoody-9560;Red;;;;;;
Atom SV Hoody Men's;Atom SV Hoody Men's;1418;Clothing>Men;5;images\atom-sv-hoody-mens-1.jpg;images\atom-sv-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/atom-sv-hoody-9902;Red;;;;;;
Atom SV Jacket Men's;Atom SV Jacket Men's;1215;Clothing>Men;5;images\atom-sv-jacket-mens-1.jpg;images\atom-sv-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/atom-sv-jacket-9901;Red;;;;;;
Atom Vest Men's;Atom Vest Men's;810;Clothing>Men;5;images\atom-vest-mens-1.jpg;images\atom-vest-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/atom-vest-9559;Black;Down;;;;;
Beta AR Jacket Men's;Beta AR Jacket Men's;2633;Clothing>Men;5;images\beta-ar-jacket-mens-1.jpg;images\beta-ar-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906;Blue;GORE-TEX;;;;;
Beta Down Insulated Jacket Men's;Beta Down Insulated Jacket Men's;4455;Clothing>Men;5;images\beta-down-insulated-jacket-mens-1.jpg;images\beta-down-insulated-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/beta-down-insulated-jacket-9892;Black;GORE-TEX;;;;;
Beta Insulated Jacket Men's;Beta Insulated Jacket Men's;3038;Clothing>Men;5;images\beta-insulated-jacket-mens-1.jpg;images\beta-insulated-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/beta-insulated-jacket-0510;;GORE-TEX;;;;;
Beta Jacket Men's;Beta Jacket Men's;1620;Clothing>Men;5;images\beta-jacket-mens-1.jpg;images\beta-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/beta-jacket-0511;Red;GORE-TEX;;;;;
Beta Jacket Men's;Beta Jacket Men's;1620;Clothing>Men;5;images\beta-jacket-mens-1.jpg;images\beta-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/beta-jacket-7726;Black;GORE-TEX;;;;;
Beta Pant Men's;Beta Pant Men's;1215;Clothing>Men;5;images\beta-pant-mens-1.jpg;images\beta-pant-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/beta-pant-9569;Red;GORE-TEX;;;;;
Beta SL Jacket Men's;Beta SL Jacket Men's;2025;Clothing>Men;5;images\beta-sl-jacket-mens-1.jpg;images\beta-sl-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/beta-sl-jacket-0553;Red;GORE-TEX;;;;;
Cerium Hoody Men's;Cerium Hoody Men's;1620;Clothing>Men;5;images\cerium-hoody-mens-1.jpg;images\cerium-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cerium-hoody-0521;Red;Nylon;;;;;
Cerium Jacket Men's;Cerium Jacket Men's;1539;Clothing>Men;5;images\cerium-jacket-mens-1.jpg;images\cerium-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cerium-jacket-0579;Black;Nylon;;;;;
Cerium Pant Men's;Cerium Pant Men's;1215;Clothing>Men;5;images\cerium-pant-mens-1.jpg;images\cerium-pant-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cerium-pant-0580;Black;GORE-TEX;;;;;
Cerium SV Hoody Men's;Cerium SV Hoody Men's;2430;Clothing>Men;5;images\cerium-sv-hoody-mens-1.jpg;images\cerium-sv-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cerium-sv-hoody-0555;Black;Down;;;;;
Cerium SV Vest Men's;Cerium SV Vest Men's;1418;Clothing>Men;5;images\cerium-sv-vest-mens-1.jpg;images\cerium-sv-vest-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cerium-sv-vest-8428;;Down;;;;;
Cerium Vest Men's;Cerium Vest Men's;1215;Clothing>Men;5;images\cerium-vest-mens-1.jpg;images\cerium-vest-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cerium-vest-0531;Black;Nylon;;;;;
Conduit Down Jacket Men's;Conduit Down Jacket Men's;3240;Clothing>Men;5;images\conduit-down-jacket-mens-1.jpg;images\conduit-down-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/conduit-down-jacket-9960;Red;Down;;;;;
Conic Wool Midlayer Men's;Conic Wool Midlayer Men's;1215;Clothing>Men;5;images\conic-wool-midlayer-mens-1.jpg;images\conic-wool-midlayer-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/conic-wool-midlayer-9734;Red;;;;;;
Corbel Pant Men's;Corbel Pant Men's;1418;Clothing>Men;5;images\corbel-pant-mens-1.jpg;images\corbel-pant-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/corbel-pant;;;;;;;
Cormac Crew Neck Shirt LS Men's;Cormac Crew Neck Shirt LS Men's;324;Clothing>Men;5;images\cormac-crew-neck-shirt-ls-mens-1.jpg;images\cormac-crew-neck-shirt-ls-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cormac-crew-neck-shirt-ls-9719;Red;Polyester;;;;;
Cormac Crew Neck Shirt SS Men's;Cormac Crew Neck Shirt SS Men's;284;Clothing>Men;5;images\cormac-crew-neck-shirt-ss-mens-1.jpg;images\cormac-crew-neck-shirt-ss-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cormac-crew-neck-shirt-ss-9718;Red;Polyester;;;;;
Cormac Heavyweight Hoody Men's;Cormac Heavyweight Hoody Men's;405;Clothing>Men;5;images\cormac-heavyweight-hoody-mens-1.jpg;images\cormac-heavyweight-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cormac-heavyweight-hoody;Black;Polyester;;;;;
Cormac Heavyweight Shirt LS Men's;Cormac Heavyweight Shirt LS Men's;365;Clothing>Men;5;images\cormac-heavyweight-shirt-ls-mens-1.jpg;images\cormac-heavyweight-shirt-ls-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cormac-heavyweight-shirt-ls;Black;Polyester;;;;;
Cormac Hoody Men's;Cormac Hoody Men's;365;Clothing>Men;5;images\cormac-hoody-mens-1.jpg;images\cormac-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cormac-hoody-9699;Black;;;;;;
Covert 1/2 Zip Neck Men's;Covert 1/2 Zip Neck Men's;648;Clothing>Men;5;images\covert-1-2-zip-neck-mens-1.jpg;images\covert-1-2-zip-neck-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/covert-1-2-zip-neck-0360;Red;Polyester;;;;;
Covert Cardigan Men's;Covert Cardigan Men's;729;Clothing>Men;5;images\covert-cardigan-mens-1.jpg;images\covert-cardigan-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/covert-cardigan-0361;Red;Polyester;;;;;
Cronin Cotton Overshirt Men's;Cronin Cotton Overshirt Men's;729;Clothing>Men;5;images\cronin-cotton-overshirt-mens-1.jpg;images\cronin-cotton-overshirt-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cronin-cotton-overshirt-8448;Black;Nylon;;;;;
Cronin Cotton Pant Men's;Cronin Cotton Pant Men's;729;Clothing>Men;5;images\cronin-cotton-pant-mens-1.jpg;images\cronin-cotton-pant-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cronin-cotton-pant-9316;Red;Nylon;;;;;
Cronin Insulated Overshirt Men's;Cronin Insulated Overshirt Men's;1134;Clothing>Men;5;images\cronin-insulated-overshirt-mens-1.jpg;images\cronin-insulated-overshirt-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cronin-insulated-overshirt-0027;;Nylon;;;;;
Cronin Pant Men's;Cronin Pant Men's;810;Clothing>Men;5;images\cronin-pant-mens-1.jpg;images\cronin-pant-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/cronin-pant-0549;Red;Nylon;;;;;
Delta 1/2 Zip Neck Men's;Delta 1/2 Zip Neck Men's;729;Clothing>Men;5;images\delta-1-2-zip-neck-mens-1.jpg;images\delta-1-2-zip-neck-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/delta-1-2-zip-neck-0550;Black;;;;;;
Delta Hoody Men's;Delta Hoody Men's;891;Clothing>Men;5;images\delta-hoody-mens-1.jpg;images\delta-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/delta-hoody-0551;Black;;;;;;
Delta Jacket Men's;Delta Jacket Men's;810;Clothing>Men;5;images\delta-jacket-mens-1.jpg;images\delta-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/delta-jacket-9165;Black;;;;;;
Delta Pullover Hoody Men's;Delta Pullover Hoody Men's;729;Clothing>Men;5;images\delta-pullover-hoody-mens-1.jpg;images\delta-pullover-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/delta-pullover-hoody;Red;;;;;;
Demlo Shirt SS Men's;Demlo Shirt SS Men's;1013;Clothing>Men;5;images\demlo-shirt-ss-mens-1.jpg;images\demlo-shirt-ss-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/demlo-shirt-ss;Black;Nylon;;;;;
Diode Bomber Jacket Men's;Diode Bomber Jacket Men's;2025;Clothing>Men;5;images\diode-bomber-jacket-mens-1.jpg;images\diode-bomber-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/diode-bomber-jacket;Black;Nylon;;;;;
Diode Insulated Bomber Men's;Diode Insulated Bomber Men's;2430;Clothing>Men;5;images\diode-insulated-bomber-mens-1.jpg;images\diode-insulated-bomber-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/diode-insulated-bomber-9876;Red;;;;;;
Diode Insulated Jacket Men's;Diode Insulated Jacket Men's;4050;Clothing>Men;5;images\diode-insulated-jacket-mens-1.jpg;images\diode-insulated-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/diode-insulated-jacket-9108;;GORE-TEX;;;;;
Diode Jacket Men's;Diode Jacket Men's;3645;Clothing>Men;5;images\diode-jacket-mens-1.jpg;images\diode-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/diode-jacket-0022;Black;GORE-TEX;;;;;
Diode Jacket Men's;Diode Jacket Men's;3645;Clothing>Men;5;images\diode-jacket-mens-1.jpg;images\diode-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/diode-jacket-9109;Black;GORE-TEX;;;;;
Diode MX Pant Men's;Diode MX Pant Men's;1620;Clothing>Men;5;images\diode-mx-pant-mens-1.jpg;images\diode-mx-pant-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/diode-mx-pant-9124;Red;Nylon;;;;;
Dromos Tech Polo Shirt SS Men's;Dromos Tech Polo Shirt SS Men's;1215;Clothing>Men;5;images\dromos-tech-polo-shirt-ss-mens-1.jpg;images\dromos-tech-polo-shirt-ss-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/dromos-tech-polo-shirt-ss;Black;Polyester;;;;;
Dromos Tech T-Shirt Men's;Dromos Tech T-Shirt Men's;1013;Clothing>Men;5;images\dromos-tech-t-shirt-mens-1.jpg;images\dromos-tech-t-shirt-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/dromos-tech-t-shirt;Black;Polyester;;;;;
Emblem Fleece Crew Neck Pullover Men's;Emblem Fleece Crew Neck Pullover Men's;446;Clothing>Men;5;images\emblem-fleece-crew-neck-pullover-mens-1.jpg;images\emblem-fleece-crew-neck-pullover-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/emblem-fleece-crew-neck-pullover-9787;Red;Polyester;;;;;
Emblem Fleece Full Zip Hoody Men's;Emblem Fleece Full Zip Hoody Men's;648;Clothing>Men;5;images\emblem-fleece-full-zip-hoody-mens-1.jpg;images\emblem-fleece-full-zip-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/emblem-fleece-full-zip-hoody-9929;Black;Cotton;;;;;
Emblem Fleece Hoody Men's;Emblem Fleece Hoody Men's;527;Clothing>Men;5;images\emblem-fleece-hoody-mens-1.jpg;images\emblem-fleece-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/emblem-fleece-hoody-9788;Black;Polyester;;;;;
Emblem Fleece Jogger Men's;Emblem Fleece Jogger Men's;446;Clothing>Men;5;images\emblem-fleece-jogger-mens-1.jpg;images\emblem-fleece-jogger-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/emblem-fleece-jogger-0393;Red;Cotton;;;;;
Epsilon Down Hoody Men's;Epsilon Down Hoody Men's;2228;Clothing>Men;5;images\epsilon-down-hoody-mens-1.jpg;images\epsilon-down-hoody-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/epsilon-down-hoody-9895;Black;Down;;;;;
Field Jacket Men's;Field Jacket Men's;3645;Clothing>Men;5;images\field-jacket-mens-1.jpg;images\field-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/field-jacket-9942;Red;GORE-TEX;;;;;
Field Shirt LS Men's;Field Shirt LS Men's;1418;Clothing>Men;5;images\field-shirt-ls-mens-1.jpg;images\field-shirt-ls-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/field-shirt-ls-9635;Black;Polyester;;;;;
Field Shirt SS Men's;Field Shirt SS Men's;1215;Clothing>Men;5;images\field-shirt-ss-mens-1.jpg;images\field-shirt-ss-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/field-shirt-ss-9636;Black;Polyester;;;;;
Field Softshell Jacket Men's;Field Softshell Jacket Men's;2228;Clothing>Men;5;images\field-softshell-jacket-mens-1.jpg;images\field-softshell-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/field-softshell-jacket;Red;;;;;;
Field Softshell Jacket Men's;Field Softshell Jacket Men's;2228;Clothing>Men;5;images\field-softshell-jacket-mens-1.jpg;images\field-softshell-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/field-softshell-jacket-0581;Black;;;;;;
Fissile Insulated Pant Men's;Fissile Insulated Pant Men's;2835;Clothing>Men;5;images\fissile-insulated-pant-mens-1.jpg;images\fissile-insulated-pant-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/fissile-insulated-pant-0019;Black;GORE-TEX;;;;;
Fissile SV Down Jacket Men's;Fissile SV Down Jacket Men's;4455;Clothing>Men;5;images\fissile-sv-down-jacket-mens-1.jpg;images\fissile-sv-down-jacket-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/fissile-sv-down-jacket-9886;Black;GORE-TEX;;;;;
Frame Polo Shirt LS Men's;Frame Polo Shirt LS Men's;1013;Clothing>Men;5;images\frame-polo-shirt-ls-mens-1.jpg;images\frame-polo-shirt-ls-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/frame-polo-shirt-ls;Red;Nylon;;;;;
Frame Polo Shirt SS Men's;Frame Polo Shirt SS Men's;810;Clothing>Men;5;images\frame-polo-shirt-ss-mens-1.jpg;images\frame-polo-shirt-ss-mens-2.jpg;https://arcteryx.com/us/en/shop/mens/frame-polo-shirt-ss;Red;Nylon;;;;;
